ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
119.07176124953,-62.76207896492,5288069807646258304,3.0883,0.0722,-5.223,0.09,14.554,0.077, 9.63e-03,  0,0.871,17.470303, 2.538233,NOT_AVAILABLE,0,0.7
118.81671495838,-62.74946664662,5288257033861031936,2.7541,0.016,-11.007,0.022,1.761,0.02, 9.04e-03,  0,1.52,13.199220, 1.151006,NOT_AVAILABLE,0,0.56
118.66952875502,-62.67853884691,5288261015294097920,3.7411,0.0898,-7.746,0.119,27.254,0.124, 1.51e-02,  0,1.04,17.789660, 2.584677,NOT_AVAILABLE,0,0.52
118.81976924069,-62.64595150626,5288261328828205952,2.005,0.4206,-15.066,0.542,11.406,0.55, 1.31e-01,  0,12.289,16.166903, 1.702497,NOT_AVAILABLE,0,0.56
118.7709738907,-62.65096227936,5288261363187943424,3.2817,0.0394,3.688,0.051,30.725,0.054, 7.71e-03,  0,0.973,16.482061, 2.363814,NOT_AVAILABLE,0,0.68
118.71598349638,-62.64279822949,5288261534986550400,2.3918,0.0346,-4.465,0.044,11.704,0.046, 1.59e-02,  0,0.966,16.200718, 1.910988,VARIABLE     ,0,0.7
118.96992053364,-62.51971451133,5288263871448785664,1.7599,0.0392,-2.552,0.053,23.486,0.052, 2.68e-02,  0,0.944,16.674970, 1.736876,NOT_AVAILABLE,0,0.6
118.29474144386,-62.62834681247,5288270983915608960,1.9671,0.0248,3.734,0.029,24.189,0.031, 1.70e-02,  1,0.998,15.299330, 1.497297,NOT_AVAILABLE,0,0.68
118.39047792281,-62.58298988318,5288271533670300416,2.4444,0.0233,-4.049,0.029,11.47,0.031, 2.44e-02,  0,1.014,15.199986, 1.509605,VARIABLE     ,0,0.64
118.2147948269,-62.59592402333,5288271980346823424,2.0409,0.0496,-6.283,0.059,17.341,0.062, 2.55e-02,  0,0.993,16.678295, 2.047289,NOT_AVAILABLE,0,0.64
118.9688632416,-62.51591545634,5288275622479308032,2.828,0.0098,7.895,0.013,27.0,0.013, 3.29e-02,  0,1.074,12.352590, 0.856255,NOT_AVAILABLE,0,0.68
118.88519568344,-62.5034001681,5288275828637732736,1.803,0.0174,0.098,0.023,24.696,0.022, 3.38e-02,  0,1.394,12.935806, 0.894531,NOT_AVAILABLE,0,0.7
118.7231146311,-62.50763540393,5288276344033686144,2.3192,0.0605,-4.823,0.08,11.295,0.077, 1.60e-02,  0,1.048,17.284744, 2.396086,VARIABLE     ,0,0.76
118.49147041837,-62.56121369607,5288277409185564672,3.3379,0.0246,-15.482,0.032,13.931,0.036, 2.01e-02,  0,1.029,15.378162, 1.872756,NOT_AVAILABLE,0,0.68
118.52749737404,-62.48871468327,5288278817934774400,3.0551,0.0815,-8.065,0.108,8.584,0.114, 9.64e-03,  1,0.973,17.765518, 2.681839,NOT_AVAILABLE,0,0.7
118.59799935458,-62.46368134202,5288278955370915200,2.3795,0.0798,-4.248,0.113,11.528,0.102, 1.06e-02,  0,1.534,17.036886,         ,NOT_AVAILABLE,0,0.82
118.5970331823,-62.4634501017,5288278955373730944,2.3395,0.0184,-4.436,0.026,10.93,0.023, 7.06e-03,  0,1.104,14.746217, 1.333468,VARIABLE     ,0,0.68
118.60301656408,-62.43106050398,5288279195891901184,1.8787,0.025,-9.839,0.034,12.192,0.029, 9.99e-03,  0,1.838,14.257730, 1.273573,NOT_AVAILABLE,1,0.52
118.67100897407,-62.47322224933,5288279573849023360,2.59,0.0514,-4.885,0.071,9.546,0.061, 1.32e-02,  0,0.953,16.840237, 2.219585,VARIABLE     ,0,0.78
118.67180789606,-62.47463483006,5288279573849092352,2.5546,0.037,-5.966,0.052,9.623,0.044, 9.89e-03,  2,1.217,15.877683, 2.219811,NOT_AVAILABLE,0,0.74
118.79689931501,-62.4202049166,5288280157964581120,4.3001,0.0351,-11.431,0.048,14.865,0.044, 1.76e-02,  0,1.038,16.300928, 2.363855,NOT_AVAILABLE,0,0.68
118.84528081028,-62.40042821198,5288280295403536896,2.3491,0.0097,-10.609,0.013,4.255,0.012, 8.83e-03,  0,1.029,13.268130, 1.027501,NOT_AVAILABLE,0,0.68
118.85284629947,-62.3930000906,5288280295403537408,2.0936,0.0114,-11.675,0.015,13.796,0.013, 1.81e-02,  0,0.807,11.556673, 0.616994,VARIABLE     ,0,0.64
118.82744720217,-62.37530116057,5288281120037258112,2.3949,0.0744,-11.317,0.095,16.227,0.093, 2.98e-03,  0,3.235,15.472097, 1.709844,VARIABLE     ,0,0.68
117.86235082549,-62.61921111907,5288294657774071424,3.7466,0.0338,8.48,0.038,13.11,0.04, 2.22e-02,  0,1.021,16.153200, 2.336379,NOT_AVAILABLE,0,0.72
117.30213907291,-62.45747783011,5288314277184349696,1.0121,0.0153,-0.764,0.022,33.045,0.016, 4.60e-03,  1,1.016,14.491503, 0.981183,NOT_AVAILABLE,0,0.56
117.43378911979,-62.43486779681,5288315651573888384,3.6281,0.0359,-10.596,0.052,9.923,0.039, 2.29e-03,  0,1.024,16.252310, 2.442555,NOT_AVAILABLE,0,0.7
117.98405534399,-62.5963424314,5288317983738055680,3.5201,0.0876,-10.271,0.108,21.171,0.111, 7.92e-03,  0,1.01,17.867752, 2.704735,NOT_AVAILABLE,0,0.66
118.09539203856,-62.52182358026,5288318847029889664,3.1376,0.064,-0.924,0.079,19.147,0.083, 8.75e-03,  0,0.986,17.255043, 2.522163,NOT_AVAILABLE,0,0.7
118.21886740917,-62.56084409053,5288319087548127232,3.037,0.0367,-3.152,0.045,7.817,0.049, 1.80e-02,  0,1.026,16.179500, 2.207664,NOT_AVAILABLE,0,0.78
118.22965942492,-62.54193331892,5288319293706558848,4.3525,0.0256,-17.631,0.031,8.162,0.035, 1.84e-02,  0,0.927,15.408712, 2.064519,NOT_AVAILABLE,0,0.68
118.1219925256,-62.50501747424,5288320358858313856,2.462,0.0308,-4.133,0.037,11.825,0.037, 1.45e-02,  0,1.028,15.842651, 1.760755,NOT_AVAILABLE,0,0.8
118.16551828486,-62.47424852029,5288320461937531008,2.3197,0.0503,-9.112,0.069,8.269,0.069, 2.47e-03,  0,0.988,16.871923, 2.189362,NOT_AVAILABLE,0,0.72
118.17620989061,-62.47106972499,5288320496297270144,2.9369,0.0115,-19.816,0.015,2.135,0.015, 1.04e-02,  0,1.089,12.579483, 0.893171,VARIABLE     ,0,0.7
117.97874698209,-62.47028224304,5288322935838629504,3.5692,0.0735,-5.381,0.098,3.385,0.094, 1.20e-02,  0,0.949,17.437980, 2.896725,NOT_AVAILABLE,0,0.7
118.24603354264,-62.39533399882,5288324275868433024,0.8444,0.0601,-15.544,0.079,17.224,0.091, 8.11e-03,  0,0.969,17.243174, 1.403351,NOT_AVAILABLE,0,0.54
118.14533769287,-62.39304684283,5288324997422937216,1.8161,0.0602,-1.449,0.084,23.803,0.087, 7.38e-03,  0,4.333,10.957873, 0.930569,NOT_AVAILABLE,3,0.62
118.51767794725,-62.42437828892,5288326131294439168,1.5772,0.0795,-7.283,0.11,16.579,0.118, 5.10e-03,  0,0.985,17.331276, 1.499295,NOT_AVAILABLE,0,0.52
118.50831635118,-62.40366659737,5288326333155388288,1.5375,0.0541,-7.881,0.073,18.529,0.069, 9.36e-03,  1,0.972,17.127254, 1.835154,NOT_AVAILABLE,0,0.5
118.72124747539,-62.35570071942,5288328222940431360,1.6968,0.0647,-1.633,0.085,19.808,0.082, 8.91e-03,  0,0.951,17.579746, 2.113802,NOT_AVAILABLE,0,0.5
118.71856145796,-62.33861454344,5288328330317703808,2.1484,0.0719,-2.732,0.09,12.739,0.089, 1.37e-03,  0,0.99,17.696152, 2.877100,NOT_AVAILABLE,0,0.7
118.58673486827,-62.33819496473,5288328811353971584,2.4436,0.0103,-4.224,0.013,11.902,0.012, 1.47e-02,  0,1.13,12.496320, 0.866072,VARIABLE     ,0,0.72
118.53200771922,-62.33807786257,5288329047574183424,2.4212,0.0635,-1.547,0.075,11.563,0.081, 8.47e-03,  0,1.007,17.352488, 2.497009,NOT_AVAILABLE,0,0.68
118.54532794541,-62.3136651878,5288329150653433728,2.3724,0.0859,-4.253,0.104,11.196,0.105, 1.11e-02,  0,0.973,17.926023, 2.597918,VARIABLE     ,0,0.84
118.33764936703,-62.35793226306,5288330288822651136,2.5115,0.0227,-12.85,0.029,2.623,0.029, 1.03e-02,  0,0.983,15.332599, 1.606371,NOT_AVAILABLE,0,0.8
118.31695897004,-62.35879698807,5288330288823963520,2.5975,0.0159,-12.915,0.02,2.759,0.022, 3.72e-03,  1,0.961, 7.614225, 1.447846,NOT_AVAILABLE,0,0.72
118.33142148525,-62.33692428061,5288330391901866880,2.7351,0.0137,-3.065,0.017,18.379,0.016, 1.41e-02,  0,0.848,11.308377, 0.792989,NOT_AVAILABLE,0,0.7
118.68434681722,-62.22159068166,5288332797083563904,2.8042,0.0727,-2.236,0.088,3.712,0.089, 4.47e-03,  0,1.043,17.701157, 2.639114,NOT_AVAILABLE,0,0.5
118.59892104313,-62.21529129248,5288333003241930240,1.2002,0.0103,-15.558,0.012,12.811,0.013, 7.26e-03,  0,1.024, 9.065683, 1.635680,NOT_AVAILABLE,0,0.52
118.55214996198,-62.16553103165,5288334102753487488,2.5422,0.0092,-7.279,0.012,16.815,0.011, 7.49e-03,  0,0.965,12.481372, 0.905010,NOT_AVAILABLE,0,0.7
117.65063802265,-62.2982231558,5288340150067309312,5.5866,0.044,26.912,0.062,39.011,0.049, 2.63e-03,  0,1.029,16.601522, 2.687296,NOT_AVAILABLE,0,0.68
117.67939319453,-62.30812331888,5288340184427048064,2.0782,0.0187,-7.639,0.025,14.369,0.021, 1.02e-02,  0,1.233,14.221362, 1.143864,NOT_AVAILABLE,0,0.7
118.04895029677,-62.19467418871,5288341936773716992,1.5534,0.0103,-3.989,0.014,20.483,0.016, 9.44e-03,  0,0.989,13.399127, 0.962767,NOT_AVAILABLE,0,0.6
118.29347852416,-62.1940626372,5288344754272313728,4.3178,0.2728,8.199,0.361,21.541,0.389, 9.15e-02, 30,7.094,16.550910, 2.461857,NOT_AVAILABLE,0,0.68
118.53910616254,-62.14895497013,5288345853784009728,1.8119,0.0174,-5.24,0.022,17.984,0.022, 6.89e-03,  0,1.106,14.830355, 1.292924,NOT_AVAILABLE,0,0.7
118.46561375859,-62.11675248705,5288346918935837440,2.2514,0.0245,-1.704,0.03,11.126,0.032, 6.43e-03,  0,1.04,15.628387, 1.669330,NOT_AVAILABLE,0,0.68
118.52252710951,-62.07308124468,5288347155156538496,2.2533,0.0656,-4.209,0.082,11.469,0.088, 1.57e-02,  0,1.025,17.455760, 2.413094,NOT_AVAILABLE,0,0.78
118.04570569296,-62.12094276805,5288348946160317696,2.5973,0.0249,-4.194,0.034,18.374,0.038, 1.68e-03,  0,1.226,15.413968, 1.701528,NOT_AVAILABLE,0,0.7
118.37374463515,-62.1005916579,5288349805153811328,1.4302,0.0504,-2.953,0.063,22.392,0.068, 1.05e-02,  1,0.97,17.108618, 1.669376,NOT_AVAILABLE,0,0.5
118.35515998126,-62.04860777882,5288350183112403584,2.3485,0.0215,-3.961,0.029,9.976,0.033, 2.83e-01,  5,1.069,10.344997, 0.331055,NOT_AVAILABLE,0,0.86
118.33557168398,-62.04897226966,5288350904665410048,2.5111,0.0556,-4.386,0.07,11.73,0.073, 2.02e-03,  0,0.956,17.155666, 2.257502,VARIABLE     ,0,0.7
118.44145700155,-61.97506948456,5288351557500442752,2.3307,0.059,-4.166,0.078,9.565,0.079, 6.93e-03,  0,1.026,17.226240, 2.353136,NOT_AVAILABLE,0,0.8
116.93296563578,-62.35725899835,5289064178474898048,2.5662,0.0137,-13.702,0.02,9.361,0.016, 9.15e-03,  0,0.964,14.256256, 1.325345,NOT_AVAILABLE,0,0.7
117.50612299467,-62.26368904818,5289068404722850432,2.2298,0.0111,1.262,0.015,24.699,0.013, 2.63e-03,  0,1.033,12.615439, 0.873650,NOT_AVAILABLE,0,0.7
117.07064952606,-62.35756011826,5289069091917547392,1.7297,0.0352,-7.108,0.047,18.504,0.041, 1.08e-02,  0,0.889,16.297570, 1.701527,NOT_AVAILABLE,0,0.54
117.11754918983,-62.30739559371,5289070088349903104,2.738,0.0622,-4.61,0.082,12.645,0.07, 7.73e-03,  0,0.988,17.129086, 2.338947,VARIABLE     ,0,0.7
117.1718713432,-62.27480683155,5289070706825196544,4.429,0.0148,-11.716,0.021,11.019,0.016, 7.33e-03,  0,1.028,14.451748, 1.683395,NOT_AVAILABLE,0,0.68
117.1528519077,-62.25879543679,5289070771245964160,1.2174,0.1228,-10.632,0.194,20.683,0.142, 4.77e-02,  0,1.543,17.777225, 2.025700,VARIABLE     ,0,0.54
117.33609535519,-62.25943116851,5289071359660286592,2.4804,0.0113,-0.247,0.016,27.96,0.012, 2.78e-03,  0,0.967,13.613165, 1.061449,NOT_AVAILABLE,0,0.68
117.36606384068,-62.24614476722,5289071394020026368,2.3581,0.0175,-3.887,0.026,11.219,0.019, 7.34e-03,  0,0.982,14.766583, 1.325250,VARIABLE     ,0,0.58
117.47415760519,-62.23865816387,5289071634538197504,2.575,0.0105,-11.767,0.015,9.944,0.011, 5.91e-03,  0,0.804,11.598739, 1.096479,NOT_AVAILABLE,0,0.7
117.42322597924,-62.15477350835,5289073043287354624,2.6747,0.0329,-3.893,0.043,13.272,0.038, 2.03e-02,  0,0.96,16.231480, 1.977354,NOT_AVAILABLE,0,0.7
116.83589182668,-62.17750295094,5289081564502288384,3.3148,0.0182,-25.163,0.023,2.989,0.024, 1.33e-02,  0,0.956,15.059558, 1.687758,NOT_AVAILABLE,0,0.5
117.13747197891,-62.17585379513,5289083763525666048,2.0332,0.0105,-17.041,0.013,8.914,0.012, 1.39e-02,  0,0.931,13.500842, 0.965085,NOT_AVAILABLE,0,0.52
117.35008608751,-62.15886953557,5289084725598398848,4.9596,0.0462,2.051,0.06,15.419,0.055, 7.96e-03,  0,1.007,16.830568, 2.667305,NOT_AVAILABLE,0,0.68
117.31387734026,-62.0473059603,5289086306147187072,1.8261,0.0372,-4.962,0.048,16.168,0.045, 6.54e-03,  0,1.063,16.126322, 1.997132,NOT_AVAILABLE,0,0.66
117.01226925852,-62.08264571938,5289088195931808640,1.8105,0.0796,-7.176,0.116,18.863,0.097, 5.72e-03,  0,0.977,17.723870, 2.112953,NOT_AVAILABLE,0,0.56
117.25880722546,-61.98456044899,5289090360595345920,2.611,0.0441,-19.491,0.053,1.941,0.053, 3.36e-03,  0,0.95,16.595050, 2.064835,NOT_AVAILABLE,0,0.7
117.18531511773,-61.99897267916,5289090498034294912,1.9673,0.0103,-14.951,0.013,9.856,0.012, 5.60e-03,  0,0.96,11.943400, 0.796657,NOT_AVAILABLE,0,0.56
117.55492162338,-62.25458735141,5289091906783895936,4.1902,0.0116,1.851,0.017,20.59,0.013, 2.52e-03,  0,1.094,12.728929, 1.067701,VARIABLE     ,0,0.68
117.93612206264,-62.1326751175,5289093796569515776,1.3773,0.0768,-9.34,0.104,15.226,0.128, 1.23e-02,  0,0.98,17.797068, 2.077539,NOT_AVAILABLE,0,0.52
117.77904479908,-62.13270265991,5289094346325267200,2.2722,0.0245,-6.09,0.033,17.016,0.034, 8.91e-03,  0,1.492,14.964422, 1.650981,VARIABLE     ,0,0.7
117.89015230803,-62.10105967001,5289094685625024512,2.0009,0.094,5.824,0.125,27.356,0.129, 2.57e-02,  0,1.029,17.986326, 2.454088,NOT_AVAILABLE,0,0.7
117.89808954899,-62.09625343061,5289094689922654976,2.4583,0.0098,-3.887,0.013,11.494,0.014, 2.38e-03,  0,0.958,12.144573, 0.759079,NOT_AVAILABLE,0,0.7
117.90363195305,-62.08774435549,5289094793001928960,2.4164,0.0257,-3.794,0.037,11.342,0.037, 4.93e-03,  0,1.034,15.703674, 1.961017,NOT_AVAILABLE,0,0.78
117.54965597775,-62.19306790644,5289095166660280064,2.1668,0.0911,-0.483,0.136,29.731,0.106, 1.41e-02,  0,1.092,17.989250, 2.468142,NOT_AVAILABLE,0,0.68
117.53059857767,-62.1581455568,5289095617635522944,4.7937,0.0133,-12.037,0.017,15.359,0.015, 6.21e-03,  1,0.973,14.064251, 1.641414,NOT_AVAILABLE,0,0.66
117.46313078698,-62.16442706995,5289096236110812032,0.9207,0.0172,-11.793,0.023,20.906,0.02, 9.53e-03,  0,1.057,14.857120, 0.927783,NOT_AVAILABLE,0,0.58
117.70371949105,-62.06690123718,5289098469493755648,2.1834,0.0543,-9.136,0.072,17.66,0.067, 8.88e-03,  0,1.039,17.249458, 2.171820,NOT_AVAILABLE,0,0.7
117.69372259828,-62.04341834458,5289098538213232896,2.1125,0.0888,-3.768,0.115,12.516,0.106, 3.70e-02,  0,2.333,16.526272, 2.154985,NOT_AVAILABLE,0,0.62
117.99207655384,-62.08324683322,5289099878243150592,0.6103,0.0177,-7.559,0.024,24.414,0.027, 4.40e-03,  0,0.972,14.975129, 0.995493,NOT_AVAILABLE,0,0.54
118.19076671792,-62.03419991152,5289100256200277760,1.992,0.0371,-4.362,0.047,21.791,0.05, 5.68e-03,  0,0.994,16.487957, 1.913319,NOT_AVAILABLE,0,0.7
118.21350096378,-61.9895831503,5289102042906674304,1.1346,0.0506,-7.387,0.068,18.717,0.069, 2.65e-02,  0,1.338,16.518324, 1.464329,VARIABLE     ,0,0.62
118.25531649607,-61.98106382399,5289102145985890944,4.3822,0.017,-11.83,0.023,7.233,0.024, 1.07e-02,  0,1.039,14.806991, 1.845509,VARIABLE     ,0,0.68
118.31151591507,-61.97997652121,5289102279127253632,1.9312,0.0577,-14.509,0.078,7.54,0.076, 1.55e-02,  0,1.032,17.248210, 2.384499,NOT_AVAILABLE,0,0.6
118.34254019592,-61.95600594398,5289102386504062336,1.4015,0.0423,-10.095,0.056,13.655,0.056, 1.42e-02,  0,0.973,16.757645, 1.739264,NOT_AVAILABLE,0,0.58
118.28975064811,-61.93949892367,5289102627022172288,2.24,0.0471,-7.601,0.062,8.487,0.064, 1.97e-02, 10,5.066,13.174498, 1.000797,NOT_AVAILABLE,0,0.72
118.24047348111,-61.9230082459,5289103279857200256,2.3253,0.1906,-4.2,0.256,12.166,0.255, 3.66e-02,  0,3.099,17.316582, 2.499908,NOT_AVAILABLE,0,0.74
118.22346827452,-61.90075270046,5289103344278515968,1.3347,0.0551,-8.809,0.071,15.378,0.07, 8.14e-03,  0,1.016,17.142548, 1.787317,NOT_AVAILABLE,0,0.58
118.33266701188,-61.86636649519,5289103825314932224,3.5878,0.0406,-12.576,0.056,19.497,0.053, 1.77e-02,  0,1.013,16.592968, 2.429711,NOT_AVAILABLE,0,0.64
118.33316562592,-61.88047521949,5289103829613016576,0.6948,0.0243,-12.165,0.034,19.127,0.033, 1.50e-02,  0,0.983,15.590249, 1.088455,NOT_AVAILABLE,0,0.56
118.06954943514,-61.92876170049,5289104894764843392,1.9924,0.0166,-6.923,0.022,23.952,0.021, 9.58e-03,  0,1.006,14.702178, 1.217851,NOT_AVAILABLE,0,0.52
117.90495028156,-61.9679992056,5289105062266063488,2.8937,0.0725,-4.301,0.097,13.549,0.094, 8.11e-03,  0,1.018,17.724209, 2.951065,VARIABLE     ,0,0.7
117.97809589204,-61.88903162377,5289105955618679424,1.2783,0.09,-2.235,0.11,22.416,0.102, 1.19e-02,  0,1.044,17.991545, 2.265875,NOT_AVAILABLE,0,0.6
118.12978832647,-61.92269089553,5289106196136755584,2.3426,0.0573,-12.818,0.077,10.316,0.077, 9.08e-03, 48,4.112,14.285749, 1.266275,NOT_AVAILABLE,0,0.7
118.26555313048,-61.81282057555,5289107196864795520,1.3469,0.0579,-4.039,0.077,19.208,0.076, 1.95e-02, 25,2.67,15.869009, 1.459146,NOT_AVAILABLE,0,0.56
118.08050339395,-61.88105197708,5289107231226999936,1.1546,0.1047,-13.143,0.129,11.843,0.142, 6.19e-02,  0,1.844,17.335950, 1.951385,NOT_AVAILABLE,0,0.54
118.23297346369,-61.76976149279,5289108292081712256,2.3616,0.0561,-4.698,0.081,11.635,0.078, 2.00e-02,  1,1.482,16.611004, 2.112399,NOT_AVAILABLE,0,0.7
117.39422985026,-62.06414968752,5289109460311107584,2.877,0.063,-8.743,0.078,17.467,0.07, 8.73e-03,  0,7.694,12.435089, 0.973175,NOT_AVAILABLE,0,0.7
117.39983561048,-62.0493210592,5289109533329451136,0.9769,0.01,-8.441,0.013,22.942,0.011, 7.41e-03,  0,1.095,13.146223, 1.257479,NOT_AVAILABLE,0,0.56
117.51811978542,-61.98258048931,5289110392322826624,1.3108,0.0216,-0.567,0.027,30.461,0.026, 3.94e-03,  0,0.935,15.306106, 1.112363,NOT_AVAILABLE,0,0.5
117.60260904168,-62.01432963595,5289110598481345536,2.3132,0.0104,5.651,0.013,42.168,0.012, 1.24e-02,  0,1.071,12.561295, 0.843386,NOT_AVAILABLE,0,0.56
117.64889279587,-61.98249124128,5289110942078732160,2.4218,0.0207,-4.833,0.027,12.085,0.023, 1.25e-02,  0,2.076,12.489464, 0.935008,VARIABLE     ,1,0.7
117.76186865582,-61.92342583673,5289111560553947392,2.433,0.017,-4.368,0.022,11.472,0.023, 6.24e-03,  0,1.02,14.840966, 1.386267,VARIABLE     ,0,0.7
117.74235682693,-61.90362416862,5289112316468192128,1.4388,0.0312,10.286,0.042,39.793,0.039, 4.62e-03,  0,1.007,16.212784, 1.411751,NOT_AVAILABLE,0,0.66
117.56030839891,-61.86593602073,5289115408844638336,2.4546,0.0153,-4.018,0.019,11.732,0.018, 1.89e-02,  0,1.039,14.475547, 1.265130,VARIABLE     ,0,0.7
117.88702521749,-61.86536148145,5289117642227647616,1.5712,0.0179,-3.838,0.022,26.105,0.021, 5.72e-03,  0,0.985,14.820254, 1.145751,NOT_AVAILABLE,0,0.56
117.96932407532,-61.84896035547,5289117882745822336,4.0643,0.0121,-1.216,0.016,20.137,0.015, 1.17e-02,  0,0.911,13.984535, 1.555233,NOT_AVAILABLE,0,0.68
117.90061966096,-61.84396625524,5289118020184772352,2.2489,0.0103,5.494,0.014,20.872,0.012, 7.56e-03,  0,0.904,13.370052, 0.952000,NOT_AVAILABLE,0,0.7
117.77390604182,-61.88492814356,5289118222044376320,2.4571,0.0138,-3.814,0.017,9.083,0.018, 2.67e-03,  0,1.491,12.492457, 0.870420,VARIABLE     ,0,0.82
117.79842590727,-61.88885532299,5289118222045288704,2.3075,0.0715,-4.751,0.088,11.1,0.089, 1.39e-03,  0,1.02,17.623130, 2.511906,NOT_AVAILABLE,0,0.7
117.83901588331,-61.84938102619,5289118432502614016,3.0143,0.5466,-14.207,0.732,7.883,0.641, 2.69e-01, 69,31.978,15.290430, 1.723917,NOT_AVAILABLE,0,0.7
118.08059815426,-61.7689443725,5289119836953807232,2.3992,0.0686,-4.478,0.098,11.505,0.083, 6.60e-03,  0,0.978,17.538092, 2.517475,NOT_AVAILABLE,0,0.7
118.20733619289,-61.7447703104,5289120111831729152,0.5944,0.0451,-10.354,0.06,19.018,0.064, 1.12e-02,  0,0.966,16.891705, 1.152536,NOT_AVAILABLE,0,0.52
118.17773590225,-61.73094550976,5289120322287266432,3.1278,0.0647,-22.496,0.081,2.733,0.083, 2.05e-02,  0,0.968,17.492271, 2.330917,NOT_AVAILABLE,0,0.68
118.04361229683,-61.73100897305,5289120867745989248,3.7424,0.0669,-8.757,0.085,5.228,0.081, 7.81e-03,  1,1.01,17.577295, 2.763702,NOT_AVAILABLE,0,0.7
117.76550688482,-61.81357811452,5289121627957297024,0.9143,0.0336,-9.974,0.044,17.46,0.042, 1.46e-02,  0,1.06,16.177664, 1.154069,NOT_AVAILABLE,0,0.52
117.80135043191,-61.78452567421,5289121971554683648,6.3409,0.0117,-11.29,0.015,6.075,0.014, 1.41e-02,  0,1.049,13.834684, 1.765849,VARIABLE     ,0,0.68
117.87962573721,-61.77667893141,5289122104700035840,2.4348,0.0143,-4.797,0.023,11.484,0.02, 3.10e-02, 25,1.068,11.983277, 0.785714,NOT_AVAILABLE,0,0.7
117.87905050526,-61.77642026075,5289122108993642368,2.4309,0.0131,-4.047,0.017,11.09,0.016, 9.74e-03, 59,1.058,10.933106, 0.524387,NOT_AVAILABLE,0,0.7
117.84251465812,-61.74519074346,5289122452591026688,2.2047,0.01,-0.768,0.013,19.061,0.012, 1.31e-02,  1,0.99,12.594485, 0.873370,NOT_AVAILABLE,0,0.7
117.69621789789,-61.78520743855,5289122620092033536,2.7984,0.3345,-2.491,0.465,26.588,0.424, 1.02e-01, 21,4.237,17.879450, 1.574654,NOT_AVAILABLE,0,0.68
117.80234799463,-61.69111110216,5289123552102519424,3.6296,0.0191,-5.401,0.027,1.149,0.025, 1.82e-02,  0,1.045,15.092586, 2.075500,NOT_AVAILABLE,0,0.7
118.00978915281,-61.68703786162,5289124170577958016,2.3616,0.0149,10.511,0.021,21.696,0.018, 1.64e-02,  0,1.029,14.465981, 1.162567,NOT_AVAILABLE,0,0.8
118.02496975251,-61.66111073973,5289124612957558400,1.5012,0.0516,-7.504,0.077,13.334,0.067, 2.81e-02,  0,1.187,16.817371, 1.775423,NOT_AVAILABLE,0,0.62
118.00762080836,-61.5997519309,5289125751125782272,2.3549,0.0211,-4.423,0.031,11.039,0.027, 1.70e-02,  1,0.971,15.414141, 1.557179,VARIABLE     ,0,0.7
116.62187008961,-62.17873272714,5289128431185411584,2.6586,0.0126,-2.184,0.016,22.53,0.015, 7.06e-03,  0,0.963,14.112425, 1.204041,VARIABLE     ,0,0.7
116.7784280125,-62.09981928093,5289129187099669504,2.5824,0.074,-2.989,0.089,11.133,0.088, 1.98e-02,  0,1.737,16.695570, 2.141639,NOT_AVAILABLE,0,0.64
116.584515108,-62.11593230246,5289129702495655680,2.3388,0.0169,-4.04,0.02,21.628,0.022, 1.09e-02,  0,1.057,14.770721, 1.364053,VARIABLE     ,0,0.7
116.39775675222,-62.10735535657,5289132004598074880,4.227,0.058,-4.517,0.065,-1.837,0.067, 1.03e-02,  0,1.01,17.194513, 2.519962,NOT_AVAILABLE,0,0.6
116.9814628454,-62.02251339575,5289135715449974656,3.3912,0.0413,-11.038,0.05,9.575,0.049, 1.05e-02,  0,1.06,16.397165, 2.382968,NOT_AVAILABLE,0,0.7
116.87618719588,-62.00477332638,5289136643162815104,4.6637,0.0104,-7.61,0.013,7.051,0.012, 1.28e-02,  0,0.985,13.163201, 1.437843,VARIABLE     ,0,0.7
117.10103526114,-61.93872050483,5289137811393923456,2.2421,0.0135,-10.325,0.017,9.461,0.015, 1.09e-02,  0,1.042,14.128697, 1.093298,NOT_AVAILABLE,0,0.7
117.12195687285,-61.86748824139,5289139048344457472,3.2916,0.0661,-1.313,0.093,34.968,0.082, 1.54e-02,  0,7.253,13.392977, 1.575909,VARIABLE     ,0,0.56
116.74323408149,-61.91040344505,5289140731971580928,2.1351,0.072,-8.996,0.097,19.097,0.087, 1.62e-02,  0,0.968,17.492680, 2.355341,NOT_AVAILABLE,0,0.66
116.56258071369,-61.97689234301,5289146259591644928,2.3917,0.0966,-8.419,0.121,11.113,0.111, 4.19e-02,  0,0.958,17.947023, 2.597252,NOT_AVAILABLE,0,0.68
116.50139838223,-61.87978982645,5289147737059634560,3.0527,0.0102,-2.213,0.013,26.239,0.012, 1.87e-02,  0,0.986,12.257543, 0.906117,NOT_AVAILABLE,0,0.68
116.26960119898,-61.95473932988,5289148565991821312,1.7854,0.0149,-2.919,0.018,29.369,0.02, 1.10e-02,  0,0.98,14.513594, 1.121139,NOT_AVAILABLE,0,0.5
116.22341848568,-61.88717059282,5289149974741047296,4.5007,0.0372,-10.246,0.047,5.33,0.053, 6.33e-03,  0,1.008,16.391226, 2.384824,NOT_AVAILABLE,0,0.7
